Parcel PIN,Unit Type,GIS Loud ID,Permit Year Issued,Planning Subarea,Project Subdivision,Town,Election District,Housing Units,POINT_X_SP,POINT_Y_SP
059394677000,SFA,243136,1/1/16,ASHBRN,ASHBURN VILLAGE LANDBAY 1,,BRDRUN,1,11779467.85,7062772.49
059394774000,SFA,243132,1/1/16,ASHBRN,ASHBURN VILLAGE LANDBAY 1,,BRDRUN,1,11779474.48,7062741.185
059394870000,SFA,243130,1/1/16,ASHBRN,ASHBURN VILLAGE LANDBAY 1,,BRDRUN,1,11779482.46,7062703.52
059394908000,SFA,243104,9/1/16,ASHBRN,ASHBURN VILLAGE LANDBAY 1,,BRDRUN,1,11779491.97,7062084.841
059394962000,SFA,243124,3/1/16,ASHBRN,ASHBURN VILLAGE LANDBAY 1,,BRDRUN,1,11779499.75,7062621.831
059394965000,SFA,243126,3/1/16,ASHBRN,ASHBURN VILLAGE LANDBAY 1,,BRDRUN,1,11779491.78,7062659.496
059395012000,SFA,243106,9/1/16,ASHBRN,ASHBURN VILLAGE LANDBAY 1,,BRDRUN,1,11779502.12,7062121.979
059395059000,SFA,243122,3/1/16,ASHBRN,ASHBURN VILLAGE LANDBAY 1,,BRDRUN,1,11779506.38,7062590.525
059395115000,SFA,243108,9/1/16,ASHBRN,ASHBURN VILLAGE LANDBAY 1,,BRDRUN,1,11779510.55,7062152.847
059395155000,SFA,243120,3/1/16,ASHBRN,ASHBURN VILLAGE LANDBAY 1,,BRDRUN,1,11779514.36,7062552.86
059395218000,SFA,243110,9/1/16,ASHBRN,ASHBURN VILLAGE LANDBAY 1,,BRDRUN,1,11779520.7,7062189.985
059486309000,SFD,243176,1/1/16,ASHBRN,ASHBURN VILLAGE LANDBAY 1,,BRDRUN,1,11778637.29,7063090.876
059487506000,SFD,243170,6/1/16,ASHBRN,ASHBURN VILLAGE LANDBAY 1,,BRDRUN,1,11778754.08,7063064.364
059488104000,SFD,243168,8/1/16,ASHBRN,ASHBURN VILLAGE LANDBAY 1,,BRDRUN,1,11778812.86,7063049.895
059489201000,SFD,243162,1/1/16,ASHBRN,ASHBURN VILLAGE LANDBAY 1,,BRDRUN,1,11778927.93,7063016.967
059489800000,SFD,243158,3/1/16,ASHBRN,ASHBURN VILLAGE LANDBAY 1,,BRDRUN,1,11778986.5,7063003.934
059490499000,SFD,243156,1/1/16,ASHBRN,ASHBURN VILLAGE LANDBAY 1,,BRDRUN,1,11779045.07,7062990.9
059491097000,SFD,243154,9/1/16,ASHBRN,ASHBURN VILLAGE LANDBAY 1,,BRDRUN,1,11779103.64,7062977.867
059494581000,SFA,243140,1/1/16,ASHBRN,ASHBURN VILLAGE LANDBAY 1,,BRDRUN,1,11779459.88,7062810.155
060498809000,MFA,247658,1/1/16,ASHBRN,ST JOHN & BEAUMEADE,,BRDRUN,116,11779948.07,7060980.267
060498809000,MFA,250172,9/1/16,ASHBRN,ST JOHN & BEAUMEADE,,BRDRUN,77,11780114.85,7061172.162
098286342000,SFD,198388,2/1/16,DULLES,JACKSON SUBDIVISION,,DULLES,1,11772610.94,7013451.153
113305855000,SFA,244908,4/1/16,ASHBRN,LANSDOWNE SQUARE CONDOMINIMUM,,ASHBUR,1,11768587.13,7078437.06
113305855000,SFA,244910,4/1/16,ASHBRN,LANSDOWNE SQUARE CONDOMINIMUM,,ASHBUR,1,11768572.29,7078453.527
113305855000,SFA,244912,4/1/16,ASHBRN,LANSDOWNE SQUARE CONDOMINIMUM,,ASHBUR,1,11768557.45,7078472.82
